Restaurant ID,Restaurant Name,City,Locality,Locality Verbose,Cuisines,Cost_for_Two,Currency,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Rating color,Rating text,Votes,Primary Cuisine,Cost Category
6317637,Le Petit Souffle,Makati City,"Century City Mall, Poblacion, Makati City","Century City Mall, Poblacion, Makati City, Makati City","French, Japanese, Desserts",1100,Botswana Pula(P),1,0,0,3,4.8,Dark Green,Excellent,314,French,Premium
6304287,Izakaya Kikufuji,Makati City,"Little Tokyo, Legaspi Village, Makati City","Little Tokyo, Legaspi Village, Makati City, Makati City",Japanese,1200,Botswana Pula(P),1,0,0,3,4.5,Dark Green,Excellent,591,Japanese,Premium
6300002,Heat - Edsa Shangri-La,Mandaluyong City,"Edsa Shangri-La, Ortigas, Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City, Mandaluyong City","Seafood, Asian, Filipino, Indian",4000,Botswana Pula(P),1,0,0,4,4.4,Green,Very Good,270,Seafood,Premium
6318506,Ooma,Mandaluyong City,"Sm Megamall, Ortigas, Mandaluyong City","Sm Megamall, Ortigas, Mandaluyong City, Mandaluyong City","Japanese, Sushi",1500,Botswana Pula(P),0,0,0,4,4.9,Dark Green,Excellent,365,Japanese,Premium
6314302,Sambo Kojin,Mandaluyong City,"Sm Megamall, Ortigas, Mandaluyong City","Sm Megamall, Ortigas, Mandaluyong City, Mandaluyong City","Japanese, Korean",1500,Botswana Pula(P),1,0,0,4,4.8,Dark Green,Excellent,229,Japanese,Premium
18189371,Din Tai Fung,Mandaluyong City,"Sm Megamall, Ortigas, Mandaluyong City","Sm Megamall, Ortigas, Mandaluyong City, Mandaluyong City",Chinese,1000,Botswana Pula(P),0,0,0,3,4.4,Green,Very Good,336,Chinese,Premium
6300781,Buffet 101,Pasay City,"Sm By The Bay, Mall Of Asia Complex, Pasay City","Sm By The Bay, Mall Of Asia Complex, Pasay City, Pasay City","Asian, European",2000,Botswana Pula(P),1,0,0,4,4.0,Green,Very Good,520,Asian,Premium
6301290,Vikings,Pasay City,"Sm By The Bay, Mall Of Asia Complex, Pasay City","Sm By The Bay, Mall Of Asia Complex, Pasay City, Pasay City","Seafood, Filipino, Asian, European",2000,Botswana Pula(P),1,0,0,4,4.2,Green,Very Good,677,Seafood,Premium
6300010,Spiral - Sofitel Philippine Plaza Manila,Pasay City,"Sofitel Philippine Plaza Manila, Pasay City","Sofitel Philippine Plaza Manila, Pasay City, Pasay City","European, Asian, Indian",6000,Botswana Pula(P),1,0,0,4,4.9,Dark Green,Excellent,621,European,Premium
6314987,Locavore,Pasig City,Kapitolyo,"Kapitolyo, Pasig City",Filipino,1100,Botswana Pula(P),1,0,0,3,4.8,Dark Green,Excellent,532,Filipino,Premium
6309903,Silantro Fil-Mex,Pasig City,Kapitolyo,"Kapitolyo, Pasig City","Filipino, Mexican",800,Botswana Pula(P),0,0,0,3,4.9,Dark Green,Excellent,1070,Filipino,Premium
6309455,Mad Mark'S Creamery & Good Eats,Pasig City,Kapitolyo,"Kapitolyo, Pasig City","American, Ice Cream, Desserts",900,Botswana Pula(P),1,0,0,3,4.2,Green,Very Good,488,American,Premium
6318433,Silantro Fil-Mex,Quezon City,"Up Town Center, Diliman, Quezon City","Up Town Center, Diliman, Quezon City, Quezon City","Filipino, Mexican",800,Botswana Pula(P),0,0,0,3,4.8,Dark Green,Excellent,294,Filipino,Premium
6310470,Guevarra'S,San Juan City,Addition Hills,"Addition Hills, San Juan City",Filipino,1000,Botswana Pula(P),1,0,0,3,4.2,Green,Very Good,458,Filipino,Premium
6314605,Sodam Korean Restaurant,San Juan City,Little Baguio,"Little Baguio, San Juan City",Korean,700,Botswana Pula(P),0,0,0,3,4.3,Green,Very Good,223,Korean,Premium
18185059,Cafe Arabelle,Santa Rosa,"Nuvali, Don Jose, Santa Rosa","Nuvali, Don Jose, Santa Rosa, Santa Rosa","Cafe, American, Italian, Filipino",800,Botswana Pula(P),0,0,0,3,3.6,Yellow,Good,29,Cafe,Premium
18182702,Nonna'S Pasta & Pizzeria,Santa Rosa,"Solenad 3, Don Jose, Santa Rosa","Solenad 3, Don Jose, Santa Rosa, Santa Rosa","Italian, Pizza",850,Botswana Pula(P),0,0,0,3,4.0,Green,Very Good,72,Italian,Premium
6318213,Balay Dako,Tagaytay City,Tagaytay City,"Tagaytay City, Tagaytay City",Filipino,1200,Botswana Pula(P),1,0,0,3,4.5,Dark Green,Excellent,211,Filipino,Premium
18255654,Hobing Korean Dessert Cafe,Taguig City,"Bgc Stopover Pavillion, Bonifacio Global City","Bgc Stopover Pavillion, Bonifacio Global City, Taguig City","Cafe, Korean, Desserts",600,Botswana Pula(P),0,0,0,2,4.5,Dark Green,Excellent,118,Cafe,Midrange
6308205,Wildflour Cafe + Bakery,Taguig City,Bonifacio Global City,"Bonifacio Global City, Taguig City","Cafe, Bakery, American, Italian",1500,Botswana Pula(P),1,0,0,4,4.4,Green,Very Good,392,Cafe,Premium
6315438,Niu By Vikings,Taguig City,"Sm Aura Premier, Bonifacio Global City, Taguig City","Sm Aura Premier, Bonifacio Global City, Taguig City, Taguig City","Seafood, American, Mediterranean, Japanese",3000,Botswana Pula(P),1,0,0,4,4.7,Dark Green,Excellent,535,Seafood,Premium
6310406,The Food Hall By Todd English,Taguig City,"Sm Aura Premier, Bonifacio Global City, Taguig City","Sm Aura Premier, Bonifacio Global City, Taguig City, Taguig City","American, Asian, Italian, Seafood",1800,Botswana Pula(P),1,0,0,4,4.5,Dark Green,Excellent,618,American,Premium
6600681,Chez Michou,Brasí_Lia,Asa Norte,"Asa Norte, Brasí_Lia","Fast Food, French",55,Brazilian Real(R$),0,0,0,2,3.0,Orange,Average,6,Fast Food,Budget
6601005,Cafí© Daniel Briand,Brasí_Lia,Asa Norte,"Asa Norte, Brasí_Lia",Cafe,30,Brazilian Real(R$),0,0,0,1,3.8,Yellow,Good,9,Cafe,Budget
6600292,Casa Do Biscoito Mineiro,Brasí_Lia,Asa Norte,"Asa Norte, Brasí_Lia",Bakery,45,Brazilian Real(R$),0,0,0,2,3.7,Yellow,Good,11,Bakery,Budget
6600441,Maori,Brasí_Lia,Asa Norte,"Asa Norte, Brasí_Lia",Brazilian,60,Brazilian Real(R$),0,0,0,3,3.8,Yellow,Good,11,Brazilian,Budget
6600970,Pizza Íæ Bessa,Brasí_Lia,Asa Sul,"Asa Sul, Brasí_Lia",Pizza,50,Brazilian Real(R$),0,0,0,2,3.2,Orange,Average,11,Pizza,Budget
6600379,Sushi Loko,Brasí_Lia,Asa Sul,"Asa Sul, Brasí_Lia",Japanese,80,Brazilian Real(R$),0,0,0,3,3.1,Orange,Average,10,Japanese,Budget
6600214,Beirute,Brasí_Lia,Asa Sul,"Asa Sul, Brasí_Lia",Arabian,90,Brazilian Real(R$),0,0,0,3,3.7,Yellow,Good,8,Arabian,Budget
6601218,New Koto,Brasí_Lia,Asa Sul,"Asa Sul, Brasí_Lia",Japanese,200,Brazilian Real(R$),0,0,0,4,3.7,Yellow,Good,5,Japanese,Budget
6600083,Villa Tevere,Brasí_Lia,Asa Sul,"Asa Sul, Brasí_Lia",Italian,150,Brazilian Real(R$),0,0,0,4,4.1,Green,Very Good,12,Italian,Budget
6601515,Rovereto,Brasí_Lia,ÍGuas Claras,"ÍGuas Claras, Brasí_Lia",Pizza,100,Brazilian Real(R$),0,0,0,4,3.1,Orange,Average,9,Pizza,Budget
6601361,Buena Carne,Brasí_Lia,ÍGuas Claras,"ÍGuas Claras, Brasí_Lia","Bar Food, Brazilian",60,Brazilian Real(R$),0,0,0,3,3.6,Yellow,Good,9,Bar Food,Budget
6601602,Taco Pep,Brasí_Lia,ÍGuas Claras,"ÍGuas Claras, Brasí_Lia","Mexican, Grill",100,Brazilian Real(R$),0,0,0,4,4.3,Green,Very Good,29,Mexican,Budget
6601589,Coco Bambu,Brasí_Lia,"Brasí_Lia Shopping, Asa Norte","Brasí_Lia Shopping, Asa Norte, Brasí_Lia",International,230,Brazilian Real(R$),0,0,0,4,4.2,Green,Very Good,17,International,Budget
6601862,Taypíç,Brasí_Lia,Lago Sul,"Lago Sul, Brasí_Lia","Peruvian, Latin American",100,Brazilian Real(R$),0,0,0,4,3.6,Yellow,Good,5,Peruvian,Budget
6601595,Outback Steakhouse,Brasí_Lia,"Parkshopping, Guaríç I","Parkshopping, Guaríç I, Brasí_Lia","American, Grill",150,Brazilian Real(R$),0,0,0,4,4.0,Green,Very Good,10,American,Budget
6601158,Manzuíç,Brasí_Lia,"Pontí£O Lago Sul, Lago Sul","Pontí£O Lago Sul, Lago Sul, Brasí_Lia",Seafood,240,Brazilian Real(R$),0,0,0,4,3.2,Orange,Average,6,Seafood,Budget
6600427,Coco Bambu,Brasí_Lia,Setor De Clubes Esportivos Sul,"Setor De Clubes Esportivos Sul, Brasí_Lia",International,230,Brazilian Real(R$),0,0,0,4,4.9,Dark Green,Excellent,30,International,Budget
6600116,Gero,Brasí_Lia,"Shopping Iguatemi, Lago Norte","Shopping Iguatemi, Lago Norte, Brasí_Lia",Italian,350,Brazilian Real(R$),0,0,0,4,3.3,Orange,Average,8,Italian,Midrange
6601457,Brazilian American Burgers,Brasí_Lia,Sudoeste,"Sudoeste, Brasí_Lia","American, Burger",50,Brazilian Real(R$),0,0,0,2,3.6,Yellow,Good,9,American,Budget
7303219,Pesqueiro Eco Gourmet,Rio De Janeiro,Barra Da Tijuca,"Barra Da Tijuca, Rio De Janeiro","Seafood, Bar Food, Brazilian",140,Brazilian Real(R$),0,0,0,4,4.0,Green,Very Good,7,Seafood,Budget
7304307,Confeitaria Colombo,Rio De Janeiro,Centro,"Centro, Rio De Janeiro","Desserts, Cafe",100,Brazilian Real(R$),0,0,0,4,4.8,Dark Green,Excellent,29,Desserts,Budget
7301215,Bibi,Rio De Janeiro,Copacabana,"Copacabana, Rio De Janeiro","Juices, Healthy Food",60,Brazilian Real(R$),0,0,0,3,4.7,Dark Green,Excellent,24,Juices,Budget
7300596,Cervantes,Rio De Janeiro,Copacabana,"Copacabana, Rio De Janeiro","Beverages, Bar Food, Fast Food",90,Brazilian Real(R$),0,0,0,3,4.5,Dark Green,Excellent,29,Beverages,Budget
7300612,Amir,Rio De Janeiro,Copacabana,"Copacabana, Rio De Janeiro",Lebanese,170,Brazilian Real(R$),0,0,0,4,4.2,Green,Very Good,11,Lebanese,Budget
7300704,Tt Burger,Rio De Janeiro,"Galeria River, Copacabana","Galeria River, Copacabana, Rio De Janeiro",Burger,60,Brazilian Real(R$),0,0,0,3,4.8,Dark Green,Excellent,19,Burger,Budget
7300955,Braseiro Da Gíçvea,Rio De Janeiro,Gíçvea,"Gíçvea, Rio De Janeiro","Brazilian, Bar Food",100,Brazilian Real(R$),0,0,0,4,4.9,Dark Green,Excellent,40,Brazilian,Budget
7300521,Balada Mix,Rio De Janeiro,Ipanema,"Ipanema, Rio De Janeiro","Brazilian, Healthy Food, Juices, Pizza",90,Brazilian Real(R$),0,0,0,3,4.6,Dark Green,Excellent,21,Brazilian,Budget
7300515,Garota De Ipanema,Rio De Janeiro,Ipanema,"Ipanema, Rio De Janeiro","Brazilian, Bar Food",120,Brazilian Real(R$),0,0,0,4,4.9,Dark Green,Excellent,49,Brazilian,Budget
7300483,Zazíç Bistríç Tropical,Rio De Janeiro,Ipanema,"Ipanema, Rio De Janeiro",Brazilian,170,Brazilian Real(R$),0,0,0,4,4.6,Dark Green,Excellent,21,Brazilian,Budget
7301064,Filí© De Ouro,Rio De Janeiro,Lagoa,"Lagoa, Rio De Janeiro",Brazilian,90,Brazilian Real(R$),0,0,0,3,4.3,Green,Very Good,14,Brazilian,Budget
7304312,D.O.C Ristorante,Rio De Janeiro,"Le Monde, Barra Da Tijuca","Le Monde, Barra Da Tijuca, Rio De Janeiro",Italian,150,Brazilian Real(R$),0,0,0,4,4.0,Green,Very Good,5,Italian,Budget
7300004,Sushi Leblon,Rio De Janeiro,Leblon,"Leblon, Rio De Janeiro",Japanese,250,Brazilian Real(R$),0,0,0,4,4.6,Dark Green,Excellent,25,Japanese,Budget
7300868,Talho Capixaba,Rio De Janeiro,Leblon,"Leblon, Rio De Janeiro","Bakery, Sandwich, Brazilian",120,Brazilian Real(R$),0,0,0,4,4.4,Green,Very Good,13,Bakery,Budget
7302637,Leme Light,Rio De Janeiro,Leme,"Leme, Rio De Janeiro",Brazilian,40,Brazilian Real(R$),0,0,0,2,4.2,Green,Very Good,7,Brazilian,Budget
7302140,Shirley,Rio De Janeiro,Leme,"Leme, Rio De Janeiro","Brazilian, Seafood",250,Brazilian Real(R$),0,0,0,4,4.2,Green,Very Good,8,Brazilian,Budget
7302898,Aprazí_Vel,Rio De Janeiro,Santa Teresa,"Santa Teresa, Rio De Janeiro",Brazilian,300,Brazilian Real(R$),0,0,0,4,4.7,Dark Green,Excellent,44,Brazilian,Midrange
7302859,Aconchego Carioca,Rio De Janeiro,Tijuca,"Tijuca, Rio De Janeiro","Brazilian, Bar Food",85,Brazilian Real(R$),0,0,0,3,4.6,Dark Green,Excellent,24,Brazilian,Budget
7301700,Garota De Ipanema,Rio De Janeiro,Urca,"Urca, Rio De Janeiro","Brazilian, Bar Food",80,Brazilian Real(R$),0,0,0,3,4.3,Green,Very Good,10,Brazilian,Budget
6706313,Cantina Famiglia Mancini,Sí£O Paulo,"Bela Vista, Centro","Bela Vista, Centro, Sí£O Paulo","Italian, Pizza",250,Brazilian Real(R$),0,0,0,4,4.5,Dark Green,Excellent,49,Italian,Budget
6704326,Templo Da Carne - Marcos Bassi,Sí£O Paulo,"Bela Vista, Centro","Bela Vista, Centro, Sí£O Paulo","Steak, Bbq",250,Brazilian Real(R$),0,0,0,4,4.4,Green,Very Good,17,Steak,Budget
6711179,Gopala Hari,Sí£O Paulo,Consolaí_Í£O,"Consolaí_Í£O, Sí£O Paulo",Indian,70,Brazilian Real(R$),0,0,0,3,3.1,Orange,Average,5,Indian,Budget
6702797,Jiquitaia,Sí£O Paulo,Consolaí_Í£O,"Consolaí_Í£O, Sí£O Paulo",Brazilian,100,Brazilian Real(R$),0,0,0,4,4.1,Green,Very Good,15,Brazilian,Budget
6700475,Skye - Hotel Unique,Sí£O Paulo,"Hotel Unique, Jardim Paulista","Hotel Unique, Jardim Paulista, Sí£O Paulo","Beverages, International",300,Brazilian Real(R$),0,0,0,4,4.8,Dark Green,Excellent,59,Beverages,Midrange
6713413,Les 3 Brasseurs,Sí£O Paulo,Itaim Bibi,"Itaim Bibi, Sí£O Paulo","French, Brazilian, Beverages",120,Brazilian Real(R$),0,0,0,4,4.6,Dark Green,Excellent,30,French,Budget
6714340,Red Steak & Burger,Sí£O Paulo,Itaim Bibi,"Itaim Bibi, Sí£O Paulo","Brazilian, Grill",75,Brazilian Real(R$),0,0,0,3,3.9,Yellow,Good,5,Brazilian,Budget
6700402,Paris 6 Classique,Sí£O Paulo,Jardim Paulista,"Jardim Paulista, Sí£O Paulo",French,200,Brazilian Real(R$),0,0,0,4,3.4,Orange,Average,73,French,Budget
6700846,Kawa Sushi,Sí£O Paulo,Jardim Paulista,"Jardim Paulista, Sí£O Paulo","Sushi, Japanese",120,Brazilian Real(R$),0,0,0,4,3.5,Yellow,Good,9,Sushi,Budget
6702159,A Figueira Rubaiyat,Sí£O Paulo,Jardim Paulista,"Jardim Paulista, Sí£O Paulo","Bbq, Grill, Brazilian",300,Brazilian Real(R$),0,0,0,4,4.3,Green,Very Good,39,Bbq,Midrange
6711666,Kinoshita,Sí£O Paulo,Moema,"Moema, Sí£O Paulo",Sushi,230,Brazilian Real(R$),0,0,0,4,3.9,Yellow,Good,12,Sushi,Budget
6701257,Meats,Sí£O Paulo,Pinheiros,"Pinheiros, Sí£O Paulo","Gourmet Fast Food, Burger",120,Brazilian Real(R$),0,0,0,4,4.3,Green,Very Good,68,Gourmet Fast Food,Budget
6706211,Paribar,Sí£O Paulo,Repí_Blica,"Repí_Blica, Sí£O Paulo","Brazilian, Italian",150,Brazilian Real(R$),0,0,0,4,4.3,Green,Very Good,46,Brazilian,Budget
6705858,Terraí_O Itíçlia,Sí£O Paulo,Repí_Blica,"Repí_Blica, Sí£O Paulo",Italian,400,Brazilian Real(R$),0,0,0,4,4.4,Green,Very Good,37,Italian,Midrange
6709580,Esquina Mocotí_,Sí£O Paulo,Vila Maria,"Vila Maria, Sí£O Paulo","Brazilian, North Eastern",100,Brazilian Real(R$),0,0,0,4,4.4,Green,Very Good,22,Brazilian,Budget
6703176,Veloso,Sí£O Paulo,Vila Mariana,"Vila Mariana, Sí£O Paulo","Brazilian, Bar Food, Beverages",70,Brazilian Real(R$),0,0,0,3,4.6,Dark Green,Excellent,58,Brazilian,Budget
6713772,Sainte Marie Gastronomia,Sí£O Paulo,Vila Síçnia,"Vila Síçnia, Sí£O Paulo","Lebanese, Arabian",120,Brazilian Real(R$),0,0,0,4,4.1,Green,Very Good,11,Lebanese,Budget
17284404,Austin'S Bbq And Oyster Bar,Albany,Albany,"Albany, Albany","Bbq, Burger, Seafood",25,Dollar($),0,0,0,2,3.3,Orange,Average,35,Bbq,Budget
17284203,Bj'S Country Buffet,Albany,Albany,"Albany, Albany","American, Bbq",10,Dollar($),0,0,0,1,3.3,Orange,Average,25,American,Budget
17284105,Cookie Shoppe,Albany,Albany,"Albany, Albany",Unknown,0,Dollar($),0,0,0,1,3.4,Orange,Average,34,Unknown,Budget
17284302,El Vaquero Mexican Restaurant,Albany,Albany,"Albany, Albany",Mexican,0,Dollar($),0,0,0,1,3.4,Orange,Average,45,Mexican,Budget
17284397,Elements Coffee Co - Northwest,Albany,Albany,"Albany, Albany","Coffee And Tea, Sandwich",10,Dollar($),0,0,0,1,3.4,Orange,Average,26,Coffee And Tea,Budget
17284211,Pearly'S Famous Country Cookng,Albany,Albany,"Albany, Albany",Unknown,0,Dollar($),0,0,0,1,3.4,Orange,Average,36,Unknown,Budget
